season,yr,mnth,hr,holiday,weekday,notbizday,weathersit,temp,hum,windspeed,dteday,cnt
1,0,1,0,0,6,1,1,-1.33460918694128,0.947345243330896,-1.5538438052971,2011-01-01,16
1,0,1,1,0,6,1,1,-1.43847500990342,0.895512927978679,-1.5538438052971,2011-01-01,40
1,0,1,2,0,6,1,1,-1.43847500990342,0.895512927978679,-1.5538438052971,2011-01-01,32
1,0,1,3,0,6,1,1,-1.33460918694128,0.636351351217591,-1.5538438052971,2011-01-01,13
1,0,1,4,0,6,1,1,-1.33460918694128,0.636351351217591,-1.5538438052971,2011-01-01,1
1,0,1,5,0,6,1,2,-1.33460918694128,0.636351351217591,-0.821460017517193,2011-01-01,1
1,0,1,6,0,6,1,1,-1.43847500990342,0.895512927978679,-1.5538438052971,2011-01-01,2
1,0,1,7,0,6,1,1,-1.54234083286556,1.20650682009198,-1.5538438052971,2011-01-01,3
1,0,1,8,0,6,1,1,-1.33460918694128,0.636351351217591,-1.5538438052971,2011-01-01,8
1,0,1,9,0,6,1,1,-0.919145895092722,0.688183666569809,-1.5538438052971,2011-01-01,14
1,0,1,10,0,6,1,1,-0.607548426206302,0.688183666569809,0.519881272378821,2011-01-01,36
1,0,1,11,0,6,1,1,-0.711414249168442,0.947345243330896,0.764281665845554,2011-01-01,56
1,0,1,12,0,6,1,1,-0.399816780282022,0.740015981922026,0.764281665845554,2011-01-01,84
1,0,1,13,0,6,1,2,-0.192085134357741,0.480854405160939,0.886073166268775,2011-01-01,94
1,0,1,14,0,6,1,2,-0.192085134357741,0.480854405160939,0.764281665845554,2011-01-01,106
1,0,1,15,0,6,1,2,-0.295950957319881,0.740015981922026,0.886073166268775,2011-01-01,110
1,0,1,16,0,6,1,2,-0.399816780282022,0.999177558683113,0.886073166268775,2011-01-01,93
1,0,1,17,0,6,1,2,-0.295950957319881,0.999177558683113,0.764281665845554,2011-01-01,67
1,0,1,18,0,6,1,3,-0.399816780282022,1.31017145079642,0.519881272378821,2011-01-01,35
1,0,1,19,0,6,1,3,-0.399816780282022,1.31017145079642,0.519881272378821,2011-01-01,37
1,0,1,20,0,6,1,2,-0.503682603244161,1.2583391354442,0.519881272378821,2011-01-01,36
1,0,1,21,0,6,1,2,-0.503682603244161,1.2583391354442,0.0318978780656464,2011-01-01,34
1,0,1,22,0,6,1,2,-0.503682603244161,1.62116534290972,0.276298271532379,2011-01-01,28
1,0,1,23,0,6,1,2,-0.192085134357741,1.31017145079642,0.886073166268775,2011-01-01,39
1,0,1,0,0,0,1,2,-0.192085134357741,1.31017145079642,0.886073166268775,2011-01-02,17
1,0,1,1,0,0,1,2,-0.295950957319881,1.62116534290972,0.519881272378821,2011-01-02,17
1,0,1,2,0,0,1,2,-0.399816780282022,1.93215923502303,0.764281665845554,2011-01-02,9
1,0,1,3,0,0,1,2,-0.192085134357741,1.62116534290972,0.0318978780656464,2011-01-02,6
1,0,1,4,0,0,1,2,-0.192085134357741,1.62116534290972,0.0318978780656464,2011-01-02,3
1,0,1,6,0,0,1,3,-0.399816780282022,0.740015981922026,0.886073166268775,2011-01-02,2
1,0,1,7,0,0,1,2,-0.503682603244161,0.688183666569809,0.0318978780656464,2011-01-02,1
1,0,1,8,0,0,1,3,-0.503682603244161,0.429022089808721,0.276298271532379,2011-01-02,8
1,0,1,9,0,0,1,2,-0.607548426206302,0.688183666569809,0.276298271532379,2011-01-02,20
1,0,1,10,0,0,1,2,-0.711414249168442,0.947345243330896,0.276298271532379,2011-01-02,53
1,0,1,11,0,0,1,2,-0.711414249168442,0.429022089808721,0.519881272378821,2011-01-02,70
1,0,1,12,0,0,1,2,-0.711414249168442,0.169860513047634,0.886073166268775,2011-01-02,93
1,0,1,13,0,0,1,2,-0.711414249168442,0.169860513047634,-0.456085516247529,2011-01-02,75
1,0,1,14,0,0,1,3,-0.711414249168442,0.688183666569809,0.0318978780656464,2011-01-02,59
1,0,1,15,0,0,1,3,-0.815280072130582,0.947345243330896,-0.211685122780796,2011-01-02,74
1,0,1,16,0,0,1,3,-0.815280072130582,0.429022089808721,-0.211685122780796,2011-01-02,76
1,0,1,17,0,0,1,1,-0.815280072130582,-0.296630325122323,0.0318978780656464,2011-01-02,65
1,0,1,18,0,0,1,2,-0.711414249168442,-0.866785793996715,1.13047355973551,2011-01-02,53
1,0,1,19,0,0,1,1,-0.919145895092722,-1.07411505540558,2.10644034836186,2011-01-02,30
1,0,1,20,0,0,1,1,-1.02301171805486,-1.22961200146224,1.37405656058195,2011-01-02,22
1,0,1,21,0,0,1,1,-1.23074336397914,-0.97045042470115,1.13047355973551,2011-01-02,31
1,0,1,22,0,0,1,1,-1.33460918694128,-0.97045042470115,0.886073166268775,2011-01-02,9
1,0,1,23,0,0,1,1,-1.43847500990342,-0.814953478644498,-0.211685122780796,2011-01-02,8
1,0,1,0,0,1,0,1,-1.43847500990342,-0.97045042470115,1.37405656058195,2011-01-03,5
1,0,1,1,0,1,0,1,-1.54234083286556,-0.97045042470115,1.86203995489513,2011-01-03,2
1,0,1,4,0,1,0,1,-1.75007247878984,-0.814953478644498,1.61845695404868,2011-01-03,1
1,0,1,5,0,1,0,1,-1.75007247878984,-0.814953478644498,0.764281665845554,2011-01-03,3
1,0,1,6,0,1,0,1,-1.85393830175198,-0.659456532587845,1.61845695404868,2011-01-03,30
1,0,1,7,0,1,0,1,-1.85393830175198,-0.659456532587845,0.0318978780656464,2011-01-03,64
1,0,1,8,0,1,0,1,-1.85393830175198,-0.659456532587845,0.764281665845554,2011-01-03,154
1,0,1,9,0,1,0,1,-1.75007247878984,-1.02228274005337,1.61845695404868,2011-01-03,88
1,0,1,10,0,1,0,1,-1.6462066558277,-1.02228274005337,0.519881272378821,2011-01-03,44
1,0,1,11,0,1,0,1,-1.54234083286556,-1.17777968611002,1.13047355973551,2011-01-03,51
1,0,1,12,0,1,0,1,-1.43847500990342,-1.43694126287111,0.886073166268775,2011-01-03,61
1,0,1,13,0,1,0,1,-1.33460918694128,-1.43694126287111,0.764281665845554,2011-01-03,61
1,0,1,14,0,1,0,1,-1.23074336397914,-1.69610283963219,0.764281665845554,2011-01-03,77
1,0,1,15,0,1,0,1,-1.23074336397914,-1.69610283963219,0.519881272378821,2011-01-03,72
1,0,1,16,0,1,0,1,-1.23074336397914,-1.69610283963219,0.519881272378821,2011-01-03,76
1,0,1,17,0,1,0,1,-1.33460918694128,-1.69610283963219,0.276298271532379,2011-01-03,157
1,0,1,18,0,1,0,1,-1.33460918694128,-1.59243820892776,-0.699668517093971,2011-01-03,157
1,0,1,19,0,1,0,1,-1.54234083286556,-0.814953478644498,-1.5538438052971,2011-01-03,110
1,0,1,20,0,1,0,1,-1.54234083286556,-0.814953478644498,-0.699668517093971,2011-01-03,52
1,0,1,21,0,1,0,1,-1.6462066558277,0.0661958823431994,-0.456085516247529,2011-01-03,52
